Year,State,Metric Tons
2023,MARYLAND,872
2023,VIRGINIA,1980
2022,MARYLAND,802
2022,VIRGINIA,2009
2021,MARYLAND,631
2021,VIRGINIA,1648
2020,MARYLAND,425
2020,VIRGINIA,1352
2019,MARYLAND,298
2019,VIRGINIA,1558
2018,MARYLAND,211
2018,VIRGINIA,1724
2017,MARYLAND,305
2017,VIRGINIA,1854
2016,MARYLAND,402
2016,VIRGINIA,1849
2015,MARYLAND,540
2015,VIRGINIA,2081
2014,MARYLAND,543
2014,VIRGINIA,1708
2013,MARYLAND,637
2013,VIRGINIA,1471
2012,MARYLAND,278
2012,VIRGINIA,885
2011,MARYLAND,161
2011,VIRGINIA,687
2010,MARYLAND,185
2010,VIRGINIA,534
2009,MARYLAND,226
2009,VIRGINIA,364
2008,MARYLAND,113
2008,NEW JERSEY,250
2008,VIRGINIA,348
2007,MARYLAND,144
2007,VIRGINIA,843
2006,MARYLAND,124
2006,NEW JERSEY,156
2006,VIRGINIA,0
2005,MARYLAND,335
2005,NEW JERSEY,73
2004,MARYLAND,19
2004,NEW JERSEY,147
2004,VIRGINIA,20
2003,MARYLAND,72
2003,NEW JERSEY,324
2003,VIRGINIA,35
2002,MARYLAND,257
2002,NEW JERSEY,172
2002,VIRGINIA,44
2001,MARYLAND,578
2001,NEW JERSEY,187
2001,VIRGINIA,95
2000,MARYLAND,1074
2000,NEW JERSEY,92
2000,VIRGINIA,74
1999,MARYLAND,1107
1999,NEW JERSEY,187
1999,VIRGINIA,157
1998,MARYLAND,1116
1998,NEW JERSEY,319
1998,VIRGINIA,101
1997,MARYLAND,648
1997,NEW JERSEY,269
1997,VIRGINIA,138
1996,MARYLAND,403
1996,NEW JERSEY,156
1996,VIRGINIA,72
1995,MARYLAND,543
1995,NEW JERSEY,71
1995,VIRGINIA,181
1994,MARYLAND,371
1994,VIRGINIA,136
1993,MARYLAND,75
1993,VIRGINIA,185
1992,MARYLAND,666
1992,NEW JERSEY,15
1992,VIRGINIA,329
1991,MARYLAND,761
1991,NEW JERSEY,95
1991,VIRGINIA,773
1990,MARYLAND,1307
1990,NEW JERSEY,227
1990,VIRGINIA,741
1989,MARYLAND,1056
1989,VIRGINIA,896
1988,MARYLAND,1093
1988,VIRGINIA,1328
1987,MARYLAND,1734
1987,NEW JERSEY,7
1987,VIRGINIA,2189
1986,MARYLAND,3611
1986,NEW JERSEY,48
1986,VIRGINIA,2622
1985,MARYLAND,3900
1985,NEW JERSEY,133
1985,VIRGINIA,2052
1984,MARYLAND,3648
1984,NEW JERSEY,358
1984,VIRGINIA,1960
1983,MARYLAND,3377
1983,NEW JERSEY,320
1983,VIRGINIA,1902
1982,MARYLAND,5568
1982,NEW JERSEY,291
1982,VIRGINIA,2381
1981,MARYLAND,7131
1981,NEW JERSEY,203
1981,VIRGINIA,2669
1980,MARYLAND,6779
1980,NEW JERSEY,343
1980,VIRGINIA,3559
1979,MARYLAND,6119
1979,NEW JERSEY,760
1979,VIRGINIA,3718
1978,MARYLAND,6520
1978,NEW JERSEY,704
1978,VIRGINIA,3668
1977,MARYLAND,5910
1977,NEW JERSEY,556
1977,VIRGINIA,2261
1976,MARYLAND,6750
1976,NEW JERSEY,636
1976,VIRGINIA,2760
1975,MARYLAND,7440
1975,NEW JERSEY,441
1975,VIRGINIA,2829
1974,MARYLAND,8294
1974,NEW JERSEY,458
1974,VIRGINIA,3056
1973,MARYLAND,9263
1973,NEW JERSEY,634
1973,VIRGINIA,2259
1972,MARYLAND,8642
1972,NEW JERSEY,778
1972,VIRGINIA,2275
1971,MARYLAND,7764
1971,NEW JERSEY,395
1971,VIRGINIA,3829
1970,MARYLAND,7541
1970,NEW JERSEY,307
1970,VIRGINIA,3648
1969,MARYLAND,6677
1969,NEW JERSEY,480
1969,VIRGINIA,3373
1968,MARYLAND,6747
1968,NEW JERSEY,599
1968,VIRGINIA,3540
1967,MARYLAND,7589
1967,NEW JERSEY,466
1967,VIRGINIA,4113
1966,MARYLAND,5347
1966,NEW JERSEY,315
1966,VIRGINIA,4283
1965,MARYLAND,3910
1965,NEW JERSEY,237
1965,VIRGINIA,5701
1964,MARYLAND,3605
1964,NEW JERSEY,498
1964,VIRGINIA,6418
1963,MARYLAND,3518
1963,NEW JERSEY,234
1963,VIRGINIA,4771
1962,MARYLAND,3691
1962,NEW JERSEY,705
1962,VIRGINIA,5352
1961,MARYLAND,4689
1961,NEW JERSEY,499
1961,VIRGINIA,7785
1960,MARYLAND,5339
1960,NEW JERSEY,76
1960,VIRGINIA,6958
1959,MARYLAND,5428
1959,NEW JERSEY,93
1959,VIRGINIA,9687
1958,MARYLAND,5455
1958,NEW JERSEY,376
1958,VIRGINIA,11568
1957,MARYLAND,6683
1957,NEW JERSEY,1234
1957,VIRGINIA,9113
1956,MARYLAND,7187
1956,NEW JERSEY,2496
1956,VIRGINIA,9625
1955,MARYLAND,7834
1955,NEW JERSEY,2361
1955,VIRGINIA,9959
1954,MARYLAND,9237
1954,NEW JERSEY,3324
1954,VIRGINIA,9627
1953,MARYLAND,7908
1953,NEW JERSEY,3849
1953,VIRGINIA,8850
1952,MARYLAND,7388
1952,NEW JERSEY,3626
1952,VIRGINIA,8224
1951,MARYLAND,6587
1951,NEW JERSEY,2613
1951,VIRGINIA,6839
1950,MARYLAND,6535
1950,NEW JERSEY,3285
1950,VIRGINIA,7052
